nohup: ignoring input
Número de GPUs detectadas: 2
GPU 1: NVIDIA GeForce RTX 2080 Ti com 10.75 GB de memória
GPU 2: NVIDIA GeForce RTX 2080 Ti com 10.75 GB de memória

Fold 1/5
Fold 3 | Época 49/1000 | Treino: 0.0155 | Val: 0.0907 | Acurácia: 80.50% | AUC: 0.8846 | F1: 0.8020
Fold 3 | Época 50/1000 | Treino: 0.0124 | Val: 0.1005 | Acurácia: 80.84% | AUC: 0.8885 | F1: 0.7824
Fold 3 | Época 51/1000 | Treino: 0.0121 | Val: 0.0894 | Acurácia: 80.50% | AUC: 0.8917 | F1: 0.8007
Fold 3 | Época 52/1000 | Treino: 0.0116 | Val: 0.0843 | Acurácia: 82.18% | AUC: 0.8997 | F1: 0.8268
Fold 3 | Época 53/1000 | Treino: 0.0122 | Val: 0.1013 | Acurácia: 76.13% | AUC: 0.8832 | F1: 0.7760
Fold 3 | Época 54/1000 | Treino: 0.0129 | Val: 0.1029 | Acurácia: 78.15% | AUC: 0.8772 | F1: 0.7751
Fold 3 | Época 55/1000 | Treino: 0.0100 | Val: 0.0900 | Acurácia: 78.15% | AUC: 0.8762 | F1: 0.7848
Fold 3 | Época 56/1000 | Treino: 0.0102 | Val: 0.0756 | Acurácia: 79.16% | AUC: 0.8923 | F1: 0.7987
Fold 3 | Época 57/1000 | Treino: 0.0110 | Val: 0.0821 | Acurácia: 80.17% | AUC: 0.8932 | F1: 0.7966
Fold 3 | Época 58/1000 | Treino: 0.0114 | Val: 0.1017 | Acurácia: 76.81% | AUC: 0.8804 | F1: 0.7837
Fold 3 | Época 59/1000 | Treino: 0.0091 | Val: 0.0779 | Acurácia: 80.84% | AUC: 0.8900 | F1: 0.8094
Fold 3 | Época 60/1000 | Treino: 0.0119 | Val: 0.0899 | Acurácia: 78.15% | AUC: 0.9056 | F1: 0.7962
Fold 3 | Época 61/1000 | Treino: 0.0108 | Val: 0.0768 | Acurácia: 73.61% | AUC: 0.8848 | F1: 0.7667
Fold 3 | Época 62/1000 | Treino: 0.0117 | Val: 0.1191 | Acurácia: 83.36% | AUC: 0.8907 | F1: 0.8197
Fold 3 | Época 63/1000 | Treino: 0.0077 | Val: 0.1210 | Acurácia: 82.52% | AUC: 0.8890 | F1: 0.8038
Fold 3 - Early stopping at epoch 63

Fold 4/5
Fold 4 | Época 1/1000 | Treino: 0.0863 | Val: 0.0773 | Acurácia: 64.87% | AUC: 0.7833 | F1: 0.6819
Fold 4 | Época 2/1000 | Treino: 0.0749 | Val: 0.0657 | Acurácia: 66.22% | AUC: 0.8481 | F1: 0.7091
Fold 4 | Época 3/1000 | Treino: 0.0709 | Val: 0.0888 | Acurácia: 48.74% | AUC: 0.8641 | F1: 0.6285
Fold 4 | Época 4/1000 | Treino: 0.0685 | Val: 0.0622 | Acurácia: 80.84% | AUC: 0.8880 | F1: 0.7942
Fold 4 | Época 5/1000 | Treino: 0.0657 | Val: 0.0658 | Acurácia: 60.84% | AUC: 0.8839 | F1: 0.6872
Fold 4 | Época 6/1000 | Treino: 0.0622 | Val: 0.0538 | Acurácia: 74.62% | AUC: 0.9008 | F1: 0.7622
Fold 4 | Época 7/1000 | Treino: 0.0585 | Val: 0.0612 | Acurácia: 71.09% | AUC: 0.9040 | F1: 0.7448
Fold 4 | Época 8/1000 | Treino: 0.0550 | Val: 0.0521 | Acurácia: 78.66% | AUC: 0.9053 | F1: 0.7908
Fold 4 | Época 9/1000 | Treino: 0.0518 | Val: 0.0554 | Acurácia: 80.50% | AUC: 0.9043 | F1: 0.7929
Fold 4 | Época 10/1000 | Treino: 0.0523 | Val: 0.0563 | Acurácia: 71.93% | AUC: 0.9010 | F1: 0.7489
Fold 4 | Época 11/1000 | Treino: 0.0484 | Val: 0.0523 | Acurácia: 85.38% | AUC: 0.9196 | F1: 0.8398
Fold 4 | Época 12/1000 | Treino: 0.0496 | Val: 0.0497 | Acurácia: 80.00% | AUC: 0.9182 | F1: 0.8013
